Skills,Interest,Career
Python SQL Excel,Data Analysis,Data Analyst
Python SQL Power BI,Data Science,Data Scientist
Python Machine Learning TensorFlow,Artificial Intelligence,AI Engineer
Python Deep Learning Computer Vision,Machine Learning,Machine Learning Engineer
HTML CSS JavaScript,Web Development,Frontend Developer
HTML CSS JavaScript React,Web Development,Full Stack Developer
Java Spring Boot Database,Software Development,Backend Developer
AWS Cloud Computing,Cloud Computing,Cloud Engineer
Linux Networking Cyber Security,Cyber Security,Cyber Security Analyst
SQL Database Management,Database Management,Database Administrator
Java C++ Data Structures,Software Development,Software Developer
Python Statistics Business Intelligence,Business Intelligence,BI Analyst
React JavaScript UI UX Design,UI/UX Design,UI Developer
Python IoT Robotics,Internet of Things (IoT),IoT Engineer
Python Automation,Automation,Automation Engineer
Git GitHub DevOps,DevOps,DevOps Engineer
Blockchain Technology C++,Blockchain Technology,Blockchain Developer
Python NLP Artificial Intelligence,Natural Language Processing,NLP Engineer
AWS Linux Networking,Cloud Computing,Cloud Architect
Python Research Innovation,Research and Innovation,Research Scientist
